dataset	dataset_label	k	method	kmer_count	S_bits_per_kmer	M_bits_per_kmer	lb
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	31	greedy-maxone	9621316	2.4881602475170754	0.14172531075790465	2.4881453117528296
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	31	greedy-minone	9621316	2.4881602475170754	0.2389095213170423	2.4881453117528296
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	31	greedy-minrun	9621316	2.4881602475170754	0.14152575385737254	2.4881453117528296
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	31	joint-1	9621316	2.488313241140817	0.13899803311729914	2.4881453117528296
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	31	joint-250	9621316	3.289359792361045	0.03305327462480185	2.4881453117528296
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	31	joint-30	9621316	2.5694312503611774	0.09658553985754131	2.4881453117528296
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	31	joint-400	9621316	3.5621351590572434	0.024552150662133954	2.4881453117528296
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	31	joint-7	9621316	2.4945558383073583	0.12637273321030096	2.4881453117528296
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	31	joint-70	9621316	2.739583025856338	0.06840145360572296	2.4881453117528296
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	31	matchtigs	9621316	2.6633364915984465	0.11686800433537367	2.4881453117528296
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	63	eulertigs	14629087	3.211453182279933	0.1640572648176882	2.635010684687308
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	63	greedy-maxone	14629087	2.633174715551285	0.081166514355954	2.635010684687308
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	63	greedy-minone	14629087	2.633174715551285	0.15937563294278037	2.635010684687308
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	63	greedy-minrun	14629087	2.633174715551285	0.08087339968652862	2.635010684687308
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	63	joint-1	14629087	2.633311019341125	0.08033529365161339	2.635010684687308
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	63	joint-250	14629087	3.0710005347565437	0.03201512165455028	2.635010684687308
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	63	joint-30	14629087	2.6580864547459457	0.06612141960738903	2.635010684687308
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	63	joint-400	14629087	3.2872067819406636	0.02534785663657616	2.635010684687308
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	63	joint-7	14629087	2.634874753291166	0.07661229986532994	2.635010684687308
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	63	joint-70	14629087	2.7310651717362813	0.05409496846932416	2.635010684687308
S._Pneumoniae_pangenome	S. Pneumoniae pangenome	63	matchtigs	14629087	2.778036113942039	0.06927185544798524	2.635010684687308
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	15	eulertigs	5240017	3.849624151982713	0.7725791729301642	2.56613772898625
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	15	greedy-maxone	5240017	2.538885656286993	0.6256590388924311	2.56613772898625
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	15	greedy-minone	5240017	2.538885656286993	0.6873015869986682	2.56613772898625
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	15	greedy-minrun	5240017	2.538885656286993	0.582337042036314	2.56613772898625
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	15	joint-1	5240017	2.541176106871409	0.5657752637062056	2.56613772898625
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	15	joint-250	5240017	3.2225357284146217	0.06744405600210839	2.56613772898625
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	15	joint-30	5240017	3.055674437697435	0.10895842513488029	2.56613772898625
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	15	joint-400	5240017	3.2296295985299284	0.06578299268876418	2.56613772898625
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	15	joint-7	5240017	2.656105505001224	0.29303111039525254	2.56613772898625
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	15	joint-70	5240017	3.189501484441749	0.0750654053221583	2.56613772898625
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	15	matchtigs	5240017	3.0753739921072776	0.20588788166145264	2.56613772898625
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	31	eulertigs	12675558	3.8440041850623063	0.4338990046828708	2.7285418900794243
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	31	greedy-maxone	12675558	2.707682454689569	0.32956403181619304	2.7285418900794243
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	31	greedy-minone	12675558	2.707682454689569	0.3964694887593903	2.7285418900794243
SARS-CoV-2_pangenome	SARS-CoV-2 pangenome	31	greedy-minrun	12675558	2.707682454689569	0.31682518434296936	2.7285418900794243
