dataset	dataset_label	k	method	kmer_count	component	compressor	compression_setting	size_bytes	bits_per_kmer
E._coli_pangenome	E. coli pangenome	31	joint-70	453589061	mask	geco3	max	3355535	0.05918193869318202
E._coli_pangenome	E. coli pangenome	31	joint-70	453589061	superstring	geco3	max	66643177	1.1753930194537914
E._coli_pangenome	E. coli pangenome	31	joint-70	453589061	mask	xz	basic	6229920	0.10987778208346166
E._coli_pangenome	E. coli pangenome	31	joint-70	453589061	superstring	xz	basic	104854988	1.849338919573283
E._coli_pangenome	E. coli pangenome	31	joint-70	453589061	mask	xz	max	3500154	0.061732599852093874
E._coli_pangenome	E. coli pangenome	31	joint-70	453589061	superstring	xz	max	87360740	1.5407909495418806
E._coli_pangenome	E. coli pangenome	31	matchtigs	453589061	mask	geco3	basic	5508866	0.097160473629676
E._coli_pangenome	E. coli pangenome	31	matchtigs	453589061	superstring	geco3	basic	121953106	2.150900301363308
E._coli_pangenome	E. coli pangenome	31	matchtigs	453589061	mask	geco3	max	4914087	0.08667029119558066
E._coli_pangenome	E. coli pangenome	31	matchtigs	453589061	superstring	geco3	max	76210138	1.3441265595247678
E._coli_pangenome	E. coli pangenome	31	matchtigs	453589061	mask	xz	basic	3524684	0.06216523815154352
E._coli_pangenome	E. coli pangenome	31	matchtigs	453589061	superstring	xz	basic	112433200	1.9829966754864046
E._coli_pangenome	E. coli pangenome	31	matchtigs	453589061	mask	xz	max	3368010	0.059401961635931075
E._coli_pangenome	E. coli pangenome	31	matchtigs	453589061	superstring	xz	max	95692328	1.687736080566546
E._coli_pangenome	E. coli pangenome	63	eulertigs	760242982	mask	geco3	basic	15775875	0.16600876691815356
E._coli_pangenome	E. coli pangenome	63	eulertigs	760242982	superstring	geco3	basic	198094060	2.084534178573976
E._coli_pangenome	E. coli pangenome	63	eulertigs	760242982	mask	geco3	max	13216834	0.13908010268222376
E._coli_pangenome	E. coli pangenome	63	eulertigs	760242982	superstring	geco3	max	105312035	1.1081934328201402
E._coli_pangenome	E. coli pangenome	63	eulertigs	760242982	mask	xz	basic	8200488	0.08629333720044784
E._coli_pangenome	E. coli pangenome	63	eulertigs	760242982	superstring	xz	basic	195215840	2.0542468092129
E._coli_pangenome	E. coli pangenome	63	eulertigs	760242982	mask	xz	max	8143358	0.08569216098334204
E._coli_pangenome	E. coli pangenome	63	eulertigs	760242982	superstring	xz	max	141917684	1.4933929005345294
E._coli_pangenome	E. coli pangenome	63	greedy-maxone	760242982	mask	geco3	basic	7305253	0.07687282274708325
E._coli_pangenome	E. coli pangenome	63	greedy-maxone	760242982	superstring	geco3	basic	152448205	1.6042050619021695
E._coli_pangenome	E. coli pangenome	63	greedy-maxone	760242982	mask	geco3	max	6982386	0.073475308976939685
E._coli_pangenome	E. coli pangenome	63	greedy-maxone	760242982	superstring	geco3	max	71680393	0.7542892964186547
E._coli_pangenome	E. coli pangenome	63	greedy-maxone	760242982	mask	xz	basic	12955984	0.1363351907929878
E._coli_pangenome	E. coli pangenome	63	greedy-maxone	760242982	superstring	xz	basic	138776164	1.4603348380531318
E._coli_pangenome	E. coli pangenome	63	greedy-maxone	760242982	mask	xz	max	6892278	0.07252710686647286
E._coli_pangenome	E. coli pangenome	63	greedy-maxone	760242982	superstring	xz	max	104233448	1.0968435141700525
E._coli_pangenome	E. coli pangenome	63	greedy-minrun	760242982	mask	geco3	basic	7265760	0.07645723982493798
E._coli_pangenome	E. coli pangenome	63	greedy-minrun	760242982	superstring	geco3	basic	152448205	1.6042050619021695
E._coli_pangenome	E. coli pangenome	63	greedy-minrun	760242982	mask	geco3	max	6919675	0.07281540416771648
